431079,431080,1232
431078,431079,698
431077,431078,340
431076,431077,188
431075,431076,97
431074,431075,855
431073,431074,226
431072,431073,306
431071,431072,213
431070,431071,9
431069,431070,300
431068,431069,3
431067,431068,1146
431066,431067,507
431065,431066,1148
431064,431065,1558
431063,431064,488
431062,431063,1063
431061,431062,165
431060,431061,138
431059,431060,398
431058,431059,1971
431057,431058,506
431056,431057,158
431055,431056,929
431054,431055,103
431053,431054,831
431052,431053,951
431051,431052,235
431050,431051,370
431049,431050,1064
431048,431049,518
431047,431048,380
431046,431047,267
431045,431046,24
431044,431045,204
431043,431044,338
431042,431043,29
431041,431042,827
431040,431041,172
431039,431040,1301
431038,431039,1753
431037,431038,282
431036,431037,527
431035,431036,44
431034,431035,1877
431033,431034,127
431032,431033,1816
431031,431032,387
431030,431031,982
431029,431030,1429
431028,431029,4
431027,431028,831
431026,431027,246
431025,431026,911
431024,431025,88
431023,431024,32
431022,431023,2166
431021,431022,1170
431020,431021,2637
431019,431020,126
431018,431019,124
431017,431018,127
431016,431017,1223
431015,431016,176
431014,431015,1509
431013,431014,1171
431012,431013,215
431011,431012,236
431010,431011,445
431009,431010,8
431008,431009,716
431007,431008,165
431006,431007,1089
431005,431006,232
431004,431005,129
431003,431004,368
431002,431003,935
431001,431002,303
431000,431001,885
430999,431000,519
430998,430999,684
430997,430998,387
430996,430997,89
430995,430996,686
430994,430995,35
430993,430994,157
430992,430993,50
430991,430992,1222
430990,430991,26
430989,430990,125
430988,430989,8
430987,430988,1037
430986,430987,561
430985,430986,916
430984,430985,595
430983,430984,1209
430982,430983,249
430981,430982,1186
430980,430981,1101
430979,430980,550
430978,430979,575
430977,430978,215
430976,430977,40
430975,430976,506
430974,430975,79
430973,430974,85
430972,430973,349
430971,430972,929
430970,430971,194
430969,430970,571
430968,430969,296
430967,430968,191
430966,430967,264
430965,430966,1208
430964,430965,1448
430963,430964,2162
430962,430963,326
430961,430962,505
430960,430961,1185
430959,430960,188
430958,430959,227
430957,430958,381
430956,430957,920
430955,430956,48
430954,430955,2994
430953,430954,566
430952,430953,963
430951,430952,2006
430950,430951,738
430949,430950,409
430948,430949,227
430947,430948,265
430946,430947,2147
430945,430946,507
430944,430945,1622
430943,430944,18
430942,430943,911
430941,430942,517
430940,430941,420
430939,430940,790
430938,430939,1084
430937,430938,1499
430936,430937,449
430935,430936,356
430934,430935,45
430933,430934,15
430932,430933,920
430931,430932,58
430930,430931,126
430929,430930,599
430928,430929,48
430927,430928,167
430926,430927,84
430925,430926,15
430924,430925,252
430923,430924,50
430922,430923,424
430921,430922,1307
430920,430921,57
430919,430920,104
430918,430919,973
430917,430918,898
430916,430917,320
430915,430916,1168
430914,430915,100
430913,430914,22
430912,430913,2813
430911,430912,18
430910,430911,320
430909,430910,132
430908,430909,483
430907,430908,240
430906,430907,143
430905,430906,428
430904,430905,731
430903,430904,221
430902,430903,697
430901,430902,424
430900,430901,723
430899,430900,380
430898,430899,176
430897,430898,775
430896,430897,142
430895,430896,416
430894,430895,284
430893,430894,453
430892,430893,131
430891,430892,584
430890,430891,719
430889,430890,288
430888,430889,231
430887,430888,575
430886,430887,716
430885,430886,518
430884,430885,117
430883,430884,331
430882,430883,1761
430881,430882,846
430880,430881,542
430879,430880,164
430878,430879,1271
430877,430878,206
430876,430877,275
430875,430876,145
430874,430875,243
430873,430874,766
430872,430873,91
430871,430872,187
430870,430871,342
430869,430870,481
430868,430869,19
430867,430868,29
430866,430867,56
430865,430866,125
430864,430865,164
430863,430864,2217
430862,430863,1510
430861,430862,532
430860,430861,417
430859,430860,414
430858,430859,722
430857,430858,404
430856,430857,739
430855,430856,45
430854,430855,538
430853,430854,723
430852,430853,737
430851,430852,25
430850,430851,223
430849,430850,974
430848,430849,15
430847,430848,836
430846,430847,162
430845,430846,23
430844,430845,203
430843,430844,81
430842,430843,2069
430841,430842,122
430840,430841,242
430839,430840,1280
430838,430839,487
430837,430838,144
430836,430837,99
430835,430836,944
430834,430835,84
430833,430834,704
430832,430833,1012
430831,430832,150
430830,430831,51
430829,430830,136
430828,430829,166
430827,430828,382
430826,430827,190
430825,430826,16
430824,430825,238
430823,430824,317
430822,430823,516
430821,430822,347
430820,430821,628
430819,430820,358
430818,430819,238
430817,430818,421
430816,430817,66
430815,430816,318
430814,430815,387
430813,430814,148
430812,430813,179
430811,430812,63
430810,430811,975
430809,430810,372
430808,430809,363
430807,430808,486
430806,430807,1639
430805,430806,488
430804,430805,646
430803,430804,1008
430802,430803,621
430801,430802,631
430800,430801,571
430799,430800,847
430798,430799,755
430797,430798,267
430796,430797,13
430795,430796,528
430794,430795,1073
430793,430794,834
430792,430793,241
430791,430792,20
430790,430791,523
430789,430790,2168
430788,430789,1946
430787,430788,64
430786,430787,440
430785,430786,11
430784,430785,170
430783,430784,66
430782,430783,1302
430781,430782,29
430780,430781,345
430779,430780,127
430778,430779,1044
430777,430778,192
430776,430777,164
430775,430776,5
430774,430775,440
430773,430774,94
430772,430773,849
430771,430772,221
430770,430771,350
430769,430770,94
430768,430769,829
430767,430768,344
430766,430767,3087
430765,430766,2367
430764,430765,521
430763,430764,641
430762,430763,204
430761,430762,1436
430760,430761,71
430759,430760,778
430758,430759,553
430757,430758,936
430756,430757,745
430755,430756,492
430754,430755,131
430753,430754,732
430752,430753,134
430751,430752,67
430750,430751,291
430749,430750,66
430748,430749,884
430747,430748,951
430746,430747,1984
430745,430746,236
430744,430745,151
430743,430744,281
430742,430743,680
430741,430742,562
430740,430741,2160
430739,430740,203
430738,430739,112
430737,430738,704
430736,430737,469
430735,430736,16
430734,430735,141
430733,430734,184
430732,430733,574
430731,430732,1017
430730,430731,42
430729,430730,76
430728,430729,129
430727,430728,1094
430726,430727,662
430725,430726,1030
430724,430725,414
430723,430724,697
430722,430723,598
430721,430722,340
430720,430721,324
430719,430720,599
430718,430719,307
430717,430718,1195
430716,430717,839
430715,430716,1213
430714,430715,68
430713,430714,490
430712,430713,120
430711,430712,183
430710,430711,174
430709,430710,1606
430708,430709,452
430707,430708,2984
430706,430707,25
430705,430706,471
430704,430705,1843
430703,430704,690
430702,430703,409
430701,430702,23
430700,430701,1001
430699,430700,253
430698,430699,559
430697,430698,1029
430696,430697,1114
430695,430696,317
430694,430695,971
430693,430694,1009
430692,430693,123
430691,430692,30
